"id","session_id","current_trial","created_at","has_given_consent","mechanical_turk_code","ip_address","screen_width","screen_height","browser_width","browser_height","pixel_depth","platform","language","browser","user_agent","bandwidth","age","time_online","preferred_browser","is_mt_session"
339,"7c1d8b497523d3d0f73baa996b4c6cd0f24dd8cfe67e2d3a2aa10e319649f389",1,"2015-02-25 09:10:07",f,"","",,,,,,"","","","",,"","","",f
340,"cbfef9f1a3bcfc915dac4c70d6dbdf9c8b2993a44cb3396362bc0a52258c0781",1,"2015-02-25 09:14:46",f,"","",,,,,,"","","","",,"","","",f
321,"c9d639d9b9b2cd32b2456f8ba454c0775c663be93e79b989297d6600ce0d0a3e",11,"2015-02-24 19:45:05",t,"","71.70.252.76",1920,1080,1440,808,24,"MacIntel","en-us","Google Chrome","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36",1234834,"","","",f
322,"5f100af3439c7e6fac9b81674fa5fe0e5665e06c60162060cc363044ef690370",1,"2015-02-24 20:30:45",f,"","",,,,,,"","","","",,"","","",f
323,"85e338cb7b9cda4ccf7909464bfd475be32414c187d57060e2e193b77de999ea",1,"2015-02-24 20:32:35",f,"","",,,,,,"","","","",,"","","",f
324,"3b7d8f89fbb8a4000f8aa681145d374eb4a99b0c439fca72cd0515e4c2465d74",1,"2015-02-24 21:03:55",f,"","",,,,,,"","","","",,"","","",f
325,"516e55709cb5629be5282e8651d15f7d335bffb4da46cec7edff0a5bf7232102",1,"2015-02-24 21:14:54",f,"","",,,,,,"","","","",,"","","",f
326,"b0be7194124140887b84a3bc06dae5d9800a841562557b5b44427d4e49bdc820",1,"2015-02-24 23:35:49",f,"","",,,,,,"","","","",,"","","",f
327,"e9a8826a830640b39362f115b61ce7deffdc776f18e9570bbb5677977f60fcea",1,"2015-02-24 23:35:49",f,"","",,,,,,"","","","",,"","","",f
328,"29d88e4df1fb4c131d1b1935ba4a938374a79107c6ba043dc1493e0ff881b01b",1,"2015-02-25 00:49:57",f,"","",,,,,,"","","","",,"","","",f
329,"21112fadf0781c8e4008347259bf5fd66478e0d2bf691a53c5b3c88cc789ecf6",1,"2015-02-25 01:04:19",f,"","",,,,,,"","","","",,"","","",f
330,"28439c98c5b9c5e642bfa74fc9c92191086aa3f47cbd70672d4abba767399403",1,"2015-02-25 01:17:07",f,"","",,,,,,"","","","",,"","","",f
342,"da35f933579729bfaa0b94b688c134fc4213b52f83c489c1184d94027cdeaabb",31,"2015-02-25 10:25:46",t,"2b8411f192","162.17.208.26",1440,900,1440,826,24,"MacIntel","en-us","Google Chrome","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36",3622669,"25-34","3-5 hours","Chrome",f
316,"f9d82111e266c5055ff56b8bcd24159e53550c1e69ede34eae25f42381255f46",1,"2015-02-24 18:34:01",f,"","100.36.39.159",360,640,360,559,32,"Linux armv7l","en-us","Google Chrome","Mozilla/5.0 (Linux; Android 4.4.2; SPH-L720 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.109 Mobile Safari/537.36",1237706,"","","",f
345,"55059f862c12a46efde5bcce6d61ed8781c906ee67d895357e904ee80120b827",1,"2015-02-25 10:34:09",f,"","",,,,,,"","","","",,"","","",f
346,"75e9fba2cb47023c4713bfd126a9e7544ebe7f049f7893a94d19bef4fdf8fe31",1,"2015-02-25 10:34:20",f,"","",,,,,,"","","","",,"","","",f
350,"51ff91e929fc76424a41808ab5c11319756c09990fd84d140d6f63682f03d036",31,"2015-02-25 10:48:45",t,"37455025ed","162.17.208.26",1920,1080,1920,998,24,"MacIntel","en-us","Google Chrome","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",3165716,"25-34","6-8 hours","Chrome",f
341,"1dd799ff5a65ce7e067376e0accdb031404c1f8f28639e40b60ebc8fccd1ac04",1,"2015-02-25 10:24:52",f,"","174.109.78.255",1920,1080,1522,980,24,"Win32","en-US","Mozilla Firefox","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0",4198895,"","","",f
348,"8aaa5460b05a0824879a4194cc1b70ae5c5f95b60179e314c3662478c1d3d924",31,"2015-02-25 10:43:29",t,"3b1b1df7a6","199.255.83.38",1680,1050,1046,740,24,"Win32","en-us","Google Chrome","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",6102318,"25-34","6-8 hours","Chrome",f
343,"91177b7f9a6d4df3e555738c45f00d3858b1cff358f449660f019dc69c4fa325",31,"2015-02-25 10:31:46",t,"43f68e0204","152.2.81.147",1920,1200,1920,1160,24,"Win32","en-us","Google Chrome","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",97339655,"18-25","6-8 hours","Chrome",f
349,"57bda896c15b2631d2a8c9035dbcb6f044cd044fb160be99842acd543ecad9bb",31,"2015-02-25 10:43:38",t,"87b1ab0693","162.17.208.26",1080,1920,1080,949,24,"MacIntel","en-us","Google Chrome","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",3898030,"25-34","6-8 hours","Chrome",f
351,"8f3af05da189e75fddbc71b853f9377473b35884d1c9911ca4f66194063af8a3",1,"2015-02-25 10:54:41",f,"","",,,,,,"","","","",,"","","",f
352,"22c004101185c98d7553ff5f3f5bfb84a9cceb5ec9312c231b7895fe06f49090",1,"2015-02-25 10:54:41",f,"","",,,,,,"","","","",,"","","",f
353,"051c13de4f3805a4d561e53f01014be02d39187930f75552c1a92641cafdc3ba",1,"2015-02-25 10:54:42",f,"","",,,,,,"","","","",,"","","",f
354,"8d84fd6c63686d190b9dc2fbeb5e523fd9bc2b316a6504bd298d62c9740ec367",1,"2015-02-25 10:54:42",f,"","",,,,,,"","","","",,"","","",f
355,"165d9053032b4e0abf4139b7cbf8f30a289035e6e2e1450d5efa40736d402cd6",1,"2015-02-25 10:54:44",f,"","",,,,,,"","","","",,"","","",f
356,"62a2ce61f89ff2bd5cb9eee37d7e7ffab6d3b9a76c444037e665fa85d423c314",1,"2015-02-25 10:54:44",f,"","",,,,,,"","","","",,"","","",f
357,"6652f905aef93f714b18fd4b2dd1b3257c6bbec67ea703973d7d45536010b53e",1,"2015-02-25 10:54:44",f,"","",,,,,,"","","","",,"","","",f
344,"1904ad02b5ce4bb471fd1656363d4b5c1cc54f089b6d0619edd341243d4f5e41",31,"2015-02-25 10:34:07",t,"66bf071927","162.17.208.26",1680,1050,1436,792,24,"MacIntel","en-US","Mozilla Firefox","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:35.0) Gecko/20100101 Firefox/35.0",1121048,"25-34","3-5 hours","Firefox",f
